NOME_CURSO,IES,UF,pergunta,categoria,enunciado,media,n,rank
Letras-Português (Licenciatura) (5000898),UFPB,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.870967741935484,31,1
Ciências Sociais (Licenciatura) (1110230),UFPB,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.833333333333333,36,1
Letras-Português (Licenciatura) (5000898),UFPB,PB,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,5.774193548387096,31,1
Letras-Português (Licenciatura) (5000898),UFPB,PB,41,Curso em geral,A coordenação do curso esteve disponível para orientação acadêmica dos estudantes.,5.774193548387096,31,1
Letras-Português (Licenciatura) (5000898),UFPB,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.774193548387096,31,1
Engenharia Elétrica (113609),UFPB,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.75438596491228,57,2
Letras-Português (Licenciatura) (5000898),UFPB,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.741935483870967,31,2
Letras-Português (Licenciatura) (5000898),UFPB,PB,39,"Ensino, apoio e avaliacão",As referências bibliográficas indicadas pelos professores nos planos de ensino contribuíram para seus estudos e aprendizagens.,5.741935483870967,31,1
Letras-Português (Licenciatura) (5000898),UFPB,PB,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,5.709677419354838,31,1
Letras-Português (Licenciatura) (5000898),UFPB,PB,57,"Ensino, apoio e avaliacão",Os professores demonstraram domínio dos conteúdos abordados nas disciplinas.,5.709677419354838,31,1
Letras-Português (Licenciatura) (5000898),UFPB,PB,50,Outros,O estágio supervisionado proporcionou experiências diversificadas para a sua formação.,5.699999999999999,30,1
História (Licenciatura) (13415),UFPB,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.6923076923076925,39,3
Letras-Português (Licenciatura) (5000898),UFPB,PB,55,"Ensino, apoio e avaliacão",As avaliações da aprendizagem realizadas durante o curso foram compatíveis com os conteúdos ou temas trabalhados pelos professores.,5.677419354838709,31,1
Letras-Português (Licenciatura) (5000898),UFPB,PB,66,Aprendizagem além do técnico,"As atividades acadêmicas desenvolvidas dentro e fora da sala de aula possibilitaram reflexão, convivência e respeito à diversidade.",5.677419354838709,31,1
Ciências Sociais (Licenciatura) (1110230),UFPB,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.666666666666667,36,2
Letras-Português (Licenciatura) (109954),UFPB,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.6625,80,3
Letras-Português (Licenciatura) (5000898),UFPB,PB,28,Aprendizagem além do técnico,Os conteúdos abordados nas disciplinas do curso favoreceram sua atuação em estágios ou em atividades de iniciação profissional.,5.645161290322581,31,1
História (Licenciatura) (13415),UFPB,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.6410256410256405,39,3
Pedagogia (Licenciatura) (122924),UFPB,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.636363636363637,77,4
Pedagogia (Licenciatura) (122924),UFPB,PB,50,Outros,O estágio supervisionado proporcionou experiências diversificadas para a sua formação.,5.628205128205128,78,2
Geografia (Bacharelado) (313406),UFPB,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.615384615384615,52,4
Letras-Português (Licenciatura) (5000898),UFPB,PB,27,Aprendizagem além do técnico,"As disciplinas cursadas contribuíram para sua formação integral, como cidadão e profissional.",5.612903225806452,31,1
Letras-Português (Licenciatura) (5000898),UFPB,PB,49,Curso em geral,O curso propiciou acesso a conhecimentos atualizados e/ou contemporâneos em sua área de formação.,5.612903225806452,31,1
Letras-Português (Licenciatura) (5000898),UFPB,PB,32,Aprendizagem além do técnico,No curso você teve oportunidade de aprender a trabalhar em equipe.,5.612903225806451,31,1
Pedagogia (Licenciatura) (109626),UFPB,PB,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,5.611111111111112,72,2
Pedagogia (Licenciatura) (109626),UFPB,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.611111111111112,72,5
Pedagogia (Licenciatura) (109950),UFPB,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.601769911504425,113,4
Letras-Português (Licenciatura) (5000898),UFPB,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.6,30,1
Letras-Português (Licenciatura) (5000898),UFPB,PB,54,Curso em geral,"Os estudantes participaram de avaliações periódicas do curso (disciplinas, atuação dos professores, infraestrutura).",5.6,30,1
Matemática (Licenciatura) (13402),UFPB,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.6,35,5
Ciências Biológicas (Licenciatura) (113699),UFPB,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.590909090909091,44,6
